"Good","None","Ярославское Наместничество","Черниговское Наместничество","Харьковское Наместничество","Уфимское Наместничество","Тульское Наместничество","Тобольское Наместничество","Тверское Наместничество","Тамбовское Наместничество","Ст Петербургская Губерния","Смоленское Наместничество","Синбирское Наместничество","Саратовское Наместничество","Рязанское Наместничество","Рижское Наместничество","Псковское Наместничество","Полотское Наместничество","Пермское Наместничество","Пензенское Наместничество","Орловское Наместничество","Олонецкое Наместничество","Новогородское Наместничество","Новогород - Северское Наместничество","Нижегородское Наместничество","Московская Губерния","Могилевское Наместничество","Курское Наместничество","Костромское Наместничество","Киевское Наместничество","Калужское Наместничество","Казанское Наместничество","Кавказское Наместничество","Иркутское Наместничество","Екатеринославское Наместничество","Вятское Наместничество","Выборгское Наместничество","Воронежское Наместничество","Вологодское Наместничество","Владимерское Наместничество","Архангельское Наместничество"
"питейный припасы (drinking supplies)",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"медный товар (copper goods)",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"привозный товар (imported goods)",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"оловянный товар (tin goods)",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"произрастание (growth, vegetation)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"купецкий товар (merchant goods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"заморский товар (overseas goods)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"галантерейный товар (dry goods)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"меховой товар (fur goods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"рукодельный товар (handicrafts/handmade goods)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"надлежащий товар (appropriate goods)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"харчевой припасы (tavern supplies)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"домовый товар (household goods)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
