admin_seat_name,uniq_id,ru_old_orth,ru_new_orth,lc_translit_old,lc_translit_new,alt_name_old_orth,alt_name_new_orth,alt_name_old_trans,alt_name_new_trans,beg_yr,end_yr,xy_type,x_coord,y_coord,pres_loc,pres_country,country_code,ru_old_featuretype,ru_new_featuretype,ru_translit_old_featuretype,ru_translit_new_featuretype,en_featuretype,id_featuretype,lc_featuretype,admin_level,SOURCE,description,geonameId,partof_id,txt_id
Лихвинъ,194,Лихвинский уѣздѣ,Лихвинский уезд,Likhvinskii uiezdie,Likhvinskii uezd,,,,,1785,1796,POINT,36.24499,54.09685,"Chekalin, Tula Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Мещовскъ,229,Мешчовский уѣздѣ,Мешчовский уезд,Meshchovskii uiezdie,Meshchovskii uezd,,,,,1785,1796,POINT,35.28083,54.32444,"Meshchovsk, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Серпейскъ,251,Серпейский уѣздѣ,Серпейский уезд,Serpeiskii uiezdie,Serpeiskii uezd,,,,,1785,1796,POINT,34.98889,54.33583,"Serpeysk, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Мосальскъ,232,Мосальский уѣздѣ,Мосальский уезд,Mosal'skii uiezdie,Mosal'skii uezd,,,,,1785,1796,POINT,34.98167,54.48806,"Mosalsk, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Таруса,257,Тарусский уѣздѣ,Тарусский уезд,Tarusskii uiezdie,Tarusskii uezd,,,,,1785,1796,POINT,37.17272,54.72436,"Tarusa, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Медынь,228,Медынский уѣздѣ,Медынский уезд,Medynskii uiezdie,Medynskii uezd,,,,,1785,1796,POINT,35.85861,54.96917,"Medyn, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Боровскъ,210,Боровский уѣздѣ,Боровский уезд,Borovskii uiezdie,Borovskii uezd,,,,,1785,1796,POINT,36.48611,55.20639,"Borovsk, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Жиздра,178,Жиздринский уѣздѣ,Жиздринский уезд,Zhizdrinskii uiezdie,Zhizdrinskii uezd,,,,,1785,1796,POINT,34.73951,53.74596,"Zhizdra, Kaluga Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,12,
Кіев,13,Кіевское Намѣстничество,Киевское Наместничество,Kіevskoe Namiestnichestvo,Kievskoe Namestnichestvo,,,,,1785,1796,POINT,30.523333,50.45,"Kiev, Kyiv city",Ukraine,UA,Намѣстничество,Наместничество,Namiestnichestvo,Namestnichestvo,Viceroyalty,,,adminL1,,,,756,
Кіев,54,Кіевский уѣздѣ,Киевский уезд,Kievskii uiezdie,Kievskii uezd,,,,,1785,1796,POINT,30.523333,50.45,"Kiev, Kyiv city",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,13,
Остеръ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Козелецъ,183,Козелецкий уѣздѣ,Козелецкий уезд,Kozeletskii uiezdie,Kozeletskii uezd,,,,,1785,1796,POINT,31.1214,50.91334,"Kozelets', Chernihivs'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,13,
Переясалвль,135,Переяславский уѣздѣ,Переяславский уезд,Pereiaslavskii uiezdie,Pereiaslavskii uezd,,,,,1785,1796,POINT,31.4795,50.08768,"Pereyaslav-Khmel'nyts'kyi, Kyivs'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,13,
Пирятинъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лубны,122,Любенский уѣздѣ,Любенский уезд,Lubenskii uiezdie,Lubenskii uezd,,,,,1785,1796,POINT,32.99694,50.01625,"Lubny, Poltavs'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,13,
Миргородъ,125,Миргородский уѣздѣ,Миргородский уезд,Mirgorodskii uiezdie,Mirgorodskii uezd,,,,,1785,1796,POINT,33.60886,49.96854,"Myrhorod, Poltavs'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,13,
Хоролъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Золотоноша,181,Золотоношский уѣздѣ,Золотоношский уезд,Zolotonoshskii uiezdie,Zolotonoshskii uezd,,,,,1785,1796,POINT,32.04047,49.66832,"Zolotonosha, Cherkas'ka oblast",Ukraine,UA,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,13,
Колывань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Колывань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Семипалатой,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бийскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Красноярскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кузнецкъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
