admin_seat_name,uniq_id,ru_old_orth,ru_new_orth,lc_translit_old,lc_translit_new,alt_name_old_orth,alt_name_new_orth,alt_name_old_trans,alt_name_new_trans,beg_yr,end_yr,xy_type,x_coord,y_coord,pres_loc,pres_country,country_code,ru_old_featuretype,ru_new_featuretype,ru_translit_old_featuretype,ru_translit_new_featuretype,en_featuretype,id_featuretype,lc_featuretype,admin_level,SOURCE,description,geonameId,partof_id,txt_id
Воронежъ,46,Воронежский уѣздѣ,Воронежский уезд,Voronezhskii uiezdie,Voronezhskii uezd,,,,,1785,1796,POINT,39.210556,51.671667,"Voronezh, Voronezh Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,5,
Задонскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Бобровъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Земляанскъ,180,Землянский уѣздѣ,Землянский уезд,Zemlianskii uiezdie,Zemlianskii uezd,,,,,1785,1796,POINT,38.7334,51.9041,"Zemlyansk, Voronezh Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,5,
Нижнедѣвицкъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Вирючъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Ливенскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Калитва,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Волуйки,91,Валуйский уѣздѣ,Валуйский уезд,Valuiskii uiezdie,Valuiskii uezd,,,,,1785,1796,POINT,38.1067,50.2035,"Valuyki, Belgorod Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,5,
Бѣловодскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Купенскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Богучаръ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Павловскъ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Острогожскъ,240,Острогожский уѣздѣ,Острогожский уезд,Ostrogozhskii uiezdie,Ostrogozhskii uezd,,,,,1785,1796,POINT,39.07561,50.8664,"Ostrogozhsk, Voronezh Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,5,
Коротоякъ,204,Коротоякский уѣздѣ,Коротоякский уезд,Korotoiakskii uiezdie,Korotoiakskii uezd,,,,,1785,1796,POINT,39.17677,50.98665,"Korotoyak, Voronezh Oblast",Russia,RU,уѣздѣ,уезд,uiezdie,uezd,county,,,adminL2,,,,5,
