ID,title,reprLat,reprLong,reprType,geonamesType,provisional
231,Zaraisk,54.7605,38.87841,GeoNames,PPL,0
884,Chernigovskii uezd,51.50551,31.28488,seat,ADM2,0
195,Domnitskoi,,,,PPL,0
334,Koshira,54.84444,38.16694,GeoNames,PPL,0
988,Kozeletskii uezd,50.91334,31.1214,seat,ADM2,0
543,Podvorgal'skoe,,,,PPL,0
893,Belitskii uezd,52.9395,30.4122,seat,ADM2,0
139,Vetka,52.6738,30.6303,GeoNames,PPL,0
554,Potok,49.77022,31.04966,GeoNames,PPL,0
1139,Chausskii uezd,53.8098,30.9717,seat,ADM2,0
755,Chausy,53.8098,30.9717,GeoNames,PPL,0
891,Bezhetskii uezd,57.78506,36.69651,seat,ADM2,0
441,Molokovo,,,,PPL,0
1068,Fatezhskii uezd,52.0891,35.8632,seat,ADM2,0
728,Fatezh,52.0891,35.8632,GeoNames,PPL,0
1110,Turinskii uezd,58.04575,63.69605,seat,ADM2,0
839,Tobol'skoe Namestnichestvo,58.195278,68.258056,seat,ADM1,0
707,Turinsk,58.04575,63.69605,GeoNames,PPL,0
448,Motsyna,53.8712,25.6957,GeoNames,PPL,0
1120,Zen'kovskii uezd,50.20806,34.36376,seat,ADM2,0
236,Zinkov,50.20806,34.36376,GeoNames,PPL,0
153,Glinsk,48.95619,32.89946,GeoNames,PPL,0
634,Siniavki,,,,PPL,0
807,Arkhangel'skoe Namestnichestvo,64.533333,40.533333,seat,ADM1,0
46,Blagoveshchenskoi Prikhod,,,,PPL,0
889,Akhtyrskii uezd,50.31036,34.89879,seat,ADM2,0
28,Akhtyrka,50.31036,34.89879,GeoNames,PPL,0
1066,Ust'-Sysol'skii uezd,61.67642,50.80994,seat,ADM2,0
722,Ust'-Sysol'sk,61.67642,50.80994,GeoNames,PPL,0
411,Markushevskaia,,,,PPL,0
985,Zemlianskii uezd,51.9041,38.7334,seat,ADM2,0
810,Voronezhskoe Namestnichestvo,51.671667,39.210556,seat,ADM1,0
235,Zemliansk,51.9041,38.7334,GeoNames,PPL,0
249,Ivanovskoe,,,,PPL,0
864,Novogorodskii uezd,58.52131,31.27104,seat,ADM2,0
823,Novogorodskoe Namestnichestvo,58.52131,31.27104,seat,ADM1,0
77,Buretskoi,,,,PPL,0
1061,Sevskii uezd,52.1491,34.4926,seat,ADM2,0
674,Sevsk,52.1491,34.4926,GeoNames,PPL,0
1111,Bogatenskii uezd,50.97632,36.02332,seat,ADM2,0
51,Bogatyi,50.97632,36.02332,GeoNames,PPL,0
349,Kreslavl',,,,PPL,0
928,Liubimskii uezd,58.3625,40.68433,seat,ADM2,0
398,Liubim,58.3625,40.68433,GeoNames,PPL,0
430,Mirotino,54.63291,37.70476,GeoNames,PPL,0
316,Koliupanovka,,,,PPL,0
927,Liubenskii uezd,50.01625,32.99694,seat,ADM2,0
325,Korovai,50.15553,32.34731,GeoNames,PPL,0
530,Petrovskoe,,,,PPL,0
916,Kerenskii uezd,53.69157,43.05744,seat,ADM2,0
708,Turki,,,,PPL,0
1051,Ryl'skii uezd,51.5655,34.6822,seat,ADM2,0
594,Ryl'sk,51.5655,34.6822,GeoNames,PPL,0
652,Srebnoe,50.66384,32.91867,GeoNames,PPL,0
397,Liubech',51.7026,30.65692,GeoNames,PPL,0
702,Troitskoi,,,,PPL,0
264,Ichna,,,,PPL,0
881,Tul'skii uezd,54.19609,37.61822,seat,ADM2,0
105,Venevskoi Nikolaevskoi,,,,PPL,0
937,Nezhinskii uezd,51.04801,31.88688,seat,ADM2,0
473,Novye Mliny,,,,PPL,0
949,Saranskii uezd,54.1838,45.1749,seat,ADM2,0
26,Atemar,54.18097,45.40909,GeoNames,PPL,0
956,Temnikovskii uezd,54.63023,43.21483,seat,ADM2,0
7,Aksel',,,,PPL,0
906,Donkovskii uezd,53.25155,39.15553,seat,ADM2,0
23,Arkhangel'skoe,,,,PPL,0
931,Miropol'skii uezd,51.023,35.26233,seat,ADM2,0
429,Miropol'e,51.023,35.26233,GeoNames,PPL,0
1109,Iaranskii uezd,57.30331,47.88611,seat,ADM2,0
800,Iaransk,57.30331,47.88611,GeoNames,PPL,0
598,Riazan',54.6269,39.6916,GeoNames,PPL,0
1006,Sapozhkovskii uezd,53.94194,40.68056,seat,ADM2,0
474,Novonikol'skoe,,,,PPL,0
