ID,attestedName,romanized_name,nameLanguage
491,Карасу - Базаръ,"Karasu - Bazar""",Russian (Old Orthography)
492,Ямполь,Iampol',Russian (Old Orthography)
493,Невель,Nevel',Russian (Old Orthography)
494,Петропавловской,Petropavlovskoi,Russian (Old Orthography)
495,Волскъ,"Volsk""",Russian (Old Orthography)
496,Вильманстрандъ,"Vil'manstrand""",Russian (Old Orthography)
497,Колюпановка,Koliupanovka,Russian (Old Orthography)
498,Дагда,Dagda,Russian (Old Orthography)
499,Мосальскъ,"Mosal'sk""",Russian (Old Orthography)
500,Себежъ,"Sebezh""",Russian (Old Orthography)
501,Ржица,Rzhitsa,Russian (Old Orthography)
502,Воскресенскъ,"Voskresensk""",Russian (Old Orthography)
503,Кесова Гора,Kesova Gora,Russian (Old Orthography)
504,Синской,Sinskoi,Russian (Old Orthography)
505,Судай,Sudai,Russian (Old Orthography)
506,Глинскъ,"Glinsk""",Russian (Old Orthography)
507,Лопотовъ,"Lopotov""",Russian (Old Orthography)
508,Лютенка,Liutenka,Russian (Old Orthography)
509,Саранскъ,"Saransk""",Russian (Old Orthography)
510,Бобровица,Bobrovitsa,Russian (Old Orthography)
511,Батуринъ,"Baturin""",Russian (Old Orthography)
512,Пенза,Penza,Russian (Old Orthography)
513,Мена,Mena,Russian (Old Orthography)
514,Иркутскъ,"Irkutsk""",Russian (Old Orthography)
515,Мягкое,Miagkoe,Russian (Old Orthography)
516,Балахна,Balakhna,Russian (Old Orthography)
517,Уда,Uda,Russian (Old Orthography)
518,Константиново,Konstantinovo,Russian (Old Orthography)
519,Михайловка,Mikhailovka,Russian (Old Orthography)
520,Кобызча,Kobyzcha,Russian (Old Orthography)
521,Седневъ,"Sednev""",Russian (Old Orthography)
522,Брянскъ,"Briansk""",Russian (Old Orthography)
523,Ратковка,Ratkovka,Russian (Old Orthography)
524,Ключевская,Kliuchevskaia,Russian (Old Orthography)
525,Дубровна,Dubrovna,Russian (Old Orthography)
526,Борзна,Borzna,Russian (Old Orthography)
527,Мачуха,Machukha,Russian (Old Orthography)
528,Краснослободскъ,"Krasnoslobodsk""",Russian (Old Orthography)
529,Бобровское,Bobrovskoe,Russian (Old Orthography)
530,Крапивна,Krapivna,Russian (Old Orthography)
531,Кропивна,Kropivna,Russian (Old Orthography)
532,Зашиверскъ,"Zashiversk""",Russian (Old Orthography)
533,Симъ,"Sim""",Russian (Old Orthography)
534,Ивановка,Ivanovka,Russian (Old Orthography)
535,Глуховъ,"Glukhov""",Russian (Old Orthography)
536,Мостовское,Mostovskoe,Russian (Old Orthography)
537,Уразова,Urazova,Russian (Old Orthography)
538,Богородицкой Казанской,Bogoroditskoi Kazanskoi,Russian (Old Orthography)
539,Погромца,Pogromtsa,Russian (Old Orthography)
540,Беркунова,Berkunova,Russian (Old Orthography)
541,Моршанскъ,"Morshansk""",Russian (Old Orthography)
542,Пудога,Pudoga,Russian (Old Orthography)
543,Пудожскъ,"Pudozhsk""",Russian (Old Orthography)
544,Елимской,Elimskoi,Russian (Old Orthography)
545,Можайскъ,"Mozhaisk""",Russian (Old Orthography)
546,Ченбаръ,"Chenbar""",Russian (Old Orthography)
547,Ивановское,Ivanovskoe,Russian (Old Orthography)
548,Ивановцы,Ivanovtsy,Russian (Old Orthography)
549,Боровичи,Borovichi,Russian (Old Orthography)
550,Зарайскъ,"Zaraisk""",Russian (Old Orthography)
551,Яготинъ,"Iagotin""",Russian (Old Orthography)
552,Коровай,Korovai,Russian (Old Orthography)
553,Бушнрво,Bushnrvo,Russian (Old Orthography)
554,Стырняньі,Styrnian'і,Russian (Old Orthography)
555,Херсонъ,"Kherson""",Russian (Old Orthography)
556,Валки,Valki,Russian (Old Orthography)
557,Остапье,Ostap'e,Russian (Old Orthography)
558,Богоявленская,Bogoiavlenskaia,Russian (Old Orthography)
559,Старой Осколъ,"Staroi Oskol""",Russian (Old Orthography)
560,Касимовъ,"Kasimov""",Russian (Old Orthography)
561,Руза,Ruza,Russian (Old Orthography)
562,Кароча,Karocha,Russian (Old Orthography)
563,Короча,Korocha,Russian (Old Orthography)
564,Задушное,Zadushnoe,Russian (Old Orthography)
565,Царевъ Борисовъ,"Tsarev"" Borisov""",Russian (Old Orthography)
566,Макарьевъ,"Makar'ev""",Russian (Old Orthography)
567,Игрищи,Igrishchi,Russian (Old Orthography)
568,Цывильскъ,"Tsyvil'sk""",Russian (Old Orthography)
569,Петрома,Petroma,Russian (Old Orthography)
570,Турки,Turki,Russian (Old Orthography)
571,Самара,Samara,Russian (Old Orthography)
572,Нарва,Narva,Russian (Old Orthography)
573,Борисовъ,"Borisov""",Russian (Old Orthography)
574,Юрьевъ Польскій,"Iur'ev"" Pol'skіi",Russian (Old Orthography)
575,Казанской Богородицкой,Kazanskoi Bogoroditskoi,Russian (Old Orthography)
576,Омельникъ,"Omel'nik""",Russian (Old Orthography)
577,Шамово,Shamovo,Russian (Old Orthography)
578,Синбирскъ,"Sinbirsk""",Russian (Old Orthography)
579,Моромскъ,"Moromsk""",Russian (Old Orthography)
580,Моромескъ,"Moromesk""",Russian (Old Orthography)
581,Богатый,Bogatyi,Russian (Old Orthography)
582,Покровское,Pokrovskoe,Russian (Old Orthography)
583,Гдовъ,"Gdov""",Russian (Old Orthography)
584,Березинъ,"Berezin""",Russian (Old Orthography)
585,Березна,Berezna,Russian (Old Orthography)
586,Наспищи,Naspishchi,Russian (Old Orthography)
587,Чердынь,Cherdyn',Russian (Old Orthography)
588,Волокопинежская,Volokopinezhskaia,Russian (Old Orthography)
589,Елисаветъ-Градъ,"Elisavet""-Grad""",Russian (Old Orthography)
590,Грязное,Griaznoe,Russian (Old Orthography)
591,Колюпановка,Koliupanovka,Russian (Old Orthography)
592,Каменецъ,"Kamenets""",Russian (Old Orthography)
593,Починки,Pochinki,Russian (Old Orthography)
594,Карловка,Karlovka,Russian (Old Orthography)
595,Ружное,Ruzhnoe,Russian (Old Orthography)
596,Ковровъ,"Kovrov""",Russian (Old Orthography)
597,Усмань,Usman',Russian (Old Orthography)
598,Пошехонь,Poshekhon',Russian (Old Orthography)
599,Мегра,Megra,Russian (Old Orthography)
600,Холмъ У Спаса,"Kholm"" U Spasa",Russian (Old Orthography)
601,Вейделевка,Veidelevka,Russian (Old Orthography)
602,Конотопъ,"Konotop""",Russian (Old Orthography)
603,Венденъ,"Venden""",Russian (Old Orthography)
604,Рашевка,Rashevka,Russian (Old Orthography)
605,Лебедянь,Lebedian',Russian (Old Orthography)
606,Старинское,Starinskoe,Russian (Old Orthography)
607,Лукояновъ,"Lukoianov""",Russian (Old Orthography)
608,Молвитино,Molvitino,Russian (Old Orthography)
609,Кобылякъ,"Kobyliak""",Russian (Old Orthography)
610,Козловская,Kozlovskaia,Russian (Old Orthography)
611,Перевицкой Торжокъ,"Perevitskoi Torzhok""",Russian (Old Orthography)
612,Орловъ,"Orlov""",Russian (Old Orthography)
613,Грунь,Grun',Russian (Old Orthography)
614,Плохона,Plokhona,Russian (Old Orthography)
615,Пуша,Pusha,Russian (Old Orthography)
616,Спаское,Spaskoe,Russian (Old Orthography)
617,Богородицкъ,"Bogoroditsk""",Russian (Old Orthography)
618,Батракъ,"Batrak""",Russian (Old Orthography)
619,Пятницкое,Piatnitskoe,Russian (Old Orthography)
620,Ерахтура,Erakhtura,Russian (Old Orthography)
621,Биржа,Birzha,Russian (Old Orthography)
622,Егорьевское Заднее,Egor'evskoe Zadnee,Russian (Old Orthography)
623,Троицкой,Troitskoi,Russian (Old Orthography)
624,Покровское,Pokrovskoe,Russian (Old Orthography)
625,Любоша,Liubosha,Russian (Old Orthography)
626,Старцовъ Уголъ,"Startsov"" Ugol""",Russian (Old Orthography)
627,Когуева,Kogueva,Russian (Old Orthography)
628,Дерптъ,"Derpt""",Russian (Old Orthography)
629,Карповка,Karpovka,Russian (Old Orthography)
630,Архангельское,Arkhangel'skoe,Russian (Old Orthography)
631,Липецкъ,"Lipetsk""",Russian (Old Orthography)
632,Павлово,Pavlovo,Russian (Old Orthography)
633,Коприно,Koprino,Russian (Old Orthography)
634,Нуромской,Nuromskoi,Russian (Old Orthography)
635,Горошинъ,"Goroshin""",Russian (Old Orthography)
636,Гребенишки,Grebenishki,Russian (Old Orthography)
637,Бобылевское,Bobylevskoe,Russian (Old Orthography)
638,Бѣлики,Beliki,Russian (Old Orthography)
639,Чернухи,Chernukhi,Russian (Old Orthography)
640,Деймановка,Deimanovka,Russian (Old Orthography)
641,Коротоякъ,"Korotoiak""",Russian (Old Orthography)
642,Оскино,Oskino,Russian (Old Orthography)
643,Сосница,Sosnitsa,Russian (Old Orthography)
644,Ухолово,Ukholovo,Russian (Old Orthography)
645,Якимца,Iakimtsa,Russian (Old Orthography)
646,Балаклеевъ,"Balakleev""",Russian (Old Orthography)
647,Суджа,Sudzha,Russian (Old Orthography)
648,Хатомль,Khatoml',Russian (Old Orthography)
649,Кременчугъ,"Kremenchug""",Russian (Old Orthography)
650,Устивица,Ustivitsa,Russian (Old Orthography)
651,Спирово,Spirovo,Russian (Old Orthography)
652,Княгининъ,"Kniaginin""",Russian (Old Orthography)
653,Ладинской,Ladinskoi,Russian (Old Orthography)
654,Красногорская,Krasnogorskaia,Russian (Old Orthography)
655,Череповецъ,"Cherepovets""",Russian (Old Orthography)
656,Кинешма,Kineshma,Russian (Old Orthography)
657,Середа Стратилатская,Sereda Stratilatskaia,Russian (Old Orthography)
658,Кривонаволоцкая,Krivonavolotskaia,Russian (Old Orthography)
659,Малой Ярославецъ,"Maloi Iaroslavets""",Russian (Old Orthography)
660,Хвалынскъ,"Khvalynsk""",Russian (Old Orthography)
661,Синявки,Siniavki,Russian (Old Orthography)
662,Любавичи,Liubavichi,Russian (Old Orthography)
663,Жиздра,Zhizdra,Russian (Old Orthography)
664,Маяки,Maiaki,Russian (Old Orthography)
665,Старица,Staritsa,Russian (Old Orthography)
666,Котельва,Kotel'va,Russian (Old Orthography)
667,Серега,Serega,Russian (Old Orthography)
668,Любимъ,"Liubim""",Russian (Old Orthography)
669,Симеоновка,Simeonovka,Russian (Old Orthography)
670,Обоянь,Oboian',Russian (Old Orthography)
671,Двурѣчная,Dvurechnaia,Russian (Old Orthography)
672,Красное,Krasnoe,Russian (Old Orthography)
673,Волмаръ,"Volmar""",Russian (Old Orthography)
674,Томаровка,Tomarovka,Russian (Old Orthography)
675,Бахмачь,Bakhmach',Russian (Old Orthography)
676,Мошейка,Mosheika,Russian (Old Orthography)
677,Лакновать,Laknovat',Russian (Old Orthography)
678,Бѣлозерскъ,"Belozersk""",Russian (Old Orthography)
679,Пафнутьевъ,"Pafnut'ev""",Russian (Old Orthography)
680,Лимань,Liman',Russian (Old Orthography)
681,Угличъ,"Uglich""",Russian (Old Orthography)
682,Бронницы,Bronnitsy,Russian (Old Orthography)
683,Богоявленская,Bogoiavlenskaia,Russian (Old Orthography)
684,Дѣдиново,Dedinovo,Russian (Old Orthography)
685,Крестцы,Kresttsy,Russian (Old Orthography)
686,Комельскъ Корниліевъ,"Komel'sk"" Kornilіev""",Russian (Old Orthography)
687,Флорово,Florovo,Russian (Old Orthography)
688,Старая Руза,Staraia Ruza,Russian (Old Orthography)
689,Тарнянской,Tarnianskoi,Russian (Old Orthography)
690,Выборъ,"Vybor""",Russian (Old Orthography)
691,Вязники,Viazniki,Russian (Old Orthography)
692,Михайловка,Mikhailovka,Russian (Old Orthography)
693,Смѣлое,Smeloe,Russian (Old Orthography)
694,Пропойскъ,"Propoisk""",Russian (Old Orthography)
695,Путивль,Putivl',Russian (Old Orthography)
696,Хотьмышскъ,"Khot'myshsk""",Russian (Old Orthography)
697,Успенской,Uspenskoi,Russian (Old Orthography)
698,Городня,Gorodnia,Russian (Old Orthography)
699,Буромка,Buromka,Russian (Old Orthography)
700,Елна,Elna,Russian (Old Orthography)
701,Еременцово,Erementsovo,Russian (Old Orthography)
702,Устюгъ Великій,"Ustiug"" Velikіi",Russian (Old Orthography)
703,Островъ,"Ostrov""",Russian (Old Orthography)
704,Монастырщина,Monastyrshchina,Russian (Old Orthography)
705,Скопинъ,"Skopin""",Russian (Old Orthography)
706,Барышевка,Baryshevka,Russian (Old Orthography)
707,Вышгородъ,"Vyshgorod""",Russian (Old Orthography)
708,Апичерская,Apicherskaia,Russian (Old Orthography)
709,Тихонова,Tikhonova,Russian (Old Orthography)
710,Тюртень,Tiurten',Russian (Old Orthography)
711,Киструса,Kistrusa,Russian (Old Orthography)
712,Лихвинъ,"Likhvin""",Russian (Old Orthography)
713,Часовня Апостола Ѳомы,Chasovnia Apostola Ѳomy,Russian (Old Orthography)
714,Вѣтка,Vetka,Russian (Old Orthography)
715,Шатскъ,"Shatsk""",Russian (Old Orthography)
716,Харьковъ,"Khar'kov""",Russian (Old Orthography)
717,Золотоноша,Zolotonosha,Russian (Old Orthography)
718,Боровенки,Borovenki,Russian (Old Orthography)
719,Кесме,Kesme,Russian (Old Orthography)
720,Чериоострожской Николаевской,Cherioostrozhskoi Nikolaevskoi,Russian (Old Orthography)
721,Волоколамскъ,"Volokolamsk""",Russian (Old Orthography)
722,Вязовна,Viazovna,Russian (Old Orthography)
723,Мышкинъ,"Myshkin""",Russian (Old Orthography)
724,Тобольскъ,"Tobol'sk""",Russian (Old Orthography)
725,Борисоглѣбскъ,"Borisoglebsk""",Russian (Old Orthography)
726,Вилюйское Верхнее,Viliuiskoe Verkhnee,Russian (Old Orthography)
727,Бѣлое,Beloe,Russian (Old Orthography)
728,Лада,Lada,Russian (Old Orthography)
729,Веневъ,"Venev""",Russian (Old Orthography)
730,Саратовъ,"Saratov""",Russian (Old Orthography)
731,Бѣлая Колпь,Belaia Kolp',Russian (Old Orthography)
732,Макарьевъ,"Makar'ev""",Russian (Old Orthography)
733,Вышгородъ,"Vyshgorod""",Russian (Old Orthography)
734,Гоголевъ,"Gogolev""",Russian (Old Orthography)
735,Островня,Ostrovnia,Russian (Old Orthography)
736,Душатинъ,"Dushatin""",Russian (Old Orthography)
737,Кривцо,Krivtso,Russian (Old Orthography)
738,Тухи,Tukhi,Russian (Old Orthography)
739,Пермь,Perm',Russian (Old Orthography)
740,Ставрополь,Stavropol',Russian (Old Orthography)
741,Юнаковка,Iunakovka,Russian (Old Orthography)
742,Чернѣевъ Николаевской,"Cherneev"" Nikolaevskoi",Russian (Old Orthography)
743,Трубчевскъ,"Trubchevsk""",Russian (Old Orthography)
744,Рыбинскъ,"Rybinsk""",Russian (Old Orthography)
745,Борисоглѣбской,Borisoglebskoi,Russian (Old Orthography)
746,Кіасовка,Kіasovka,Russian (Old Orthography)
747,Покровское,Pokrovskoe,Russian (Old Orthography)
748,Языково,Iazykovo,Russian (Old Orthography)
749,Керенскъ,"Kerensk""",Russian (Old Orthography)
750,Волчья,Volch'ia,Russian (Old Orthography)
751,Дубровки,Dubrovki,Russian (Old Orthography)
752,Быковъ,"Bykov""",Russian (Old Orthography)
753,Креславль,Kreslavl',Russian (Old Orthography)
754,Печенѣги,Pechenegi,Russian (Old Orthography)
755,Вытегра,Vytegra,Russian (Old Orthography)
756,Семендѣево,Semendeevo,Russian (Old Orthography)
757,Узель,Uzel',Russian (Old Orthography)
758,Шипино,Shipino,Russian (Old Orthography)
759,Иваново,Ivanovo,Russian (Old Orthography)
760,Одинцово,Odintsovo,Russian (Old Orthography)
761,Велижъ,"Velizh""",Russian (Old Orthography)
762,Лотсшино,Lotsshino,Russian (Old Orthography)
763,Савинъ Сторожевскій,"Savin"" Storozhevskіi",Russian (Old Orthography)
764,Гомель,Gomel',Russian (Old Orthography)
765,Черенчицкой,Cherenchitskoi,Russian (Old Orthography)
766,Дубецкой,Dubetskoi,Russian (Old Orthography)
767,Кударинская,Kudarinskaia,Russian (Old Orthography)
768,Середина Буда,Seredina Buda,Russian (Old Orthography)
769,Алексинъ,"Aleksin""",Russian (Old Orthography)
770,Пена,Pena,Russian (Old Orthography)
771,Крижбургъ,"Krizhburg""",Russian (Old Orthography)
772,Троицкая,Troitskaia,Russian (Old Orthography)
773,Горбатовъ,"Gorbatov""",Russian (Old Orthography)
774,Свержинъ,"Sverzhin""",Russian (Old Orthography)
775,Носовичи,Nosovichi,Russian (Old Orthography)
776,Богачка,Bogachka,Russian (Old Orthography)
777,Крапивна,Krapivna,Russian (Old Orthography)
778,Кропивна,Kropivna,Russian (Old Orthography)
779,Геннадіевъ,"Gennadіev""",Russian (Old Orthography)
780,Дмитровъ,"Dmitrov""",Russian (Old Orthography)
781,Воеводское,Voevodskoe,Russian (Old Orthography)
782,Гнильской,Gnil'skoi,Russian (Old Orthography)
783,Рогачевъ,"Rogachev""",Russian (Old Orthography)
784,Зубцовъ,"Zubtsov""",Russian (Old Orthography)
785,Вревъ,"Vrev""",Russian (Old Orthography)
786,Дрицаны,Dritsany,Russian (Old Orthography)
787,Кролевецъ,"Krolevets""",Russian (Old Orthography)
788,Перемышль,Peremyshl',Russian (Old Orthography)
789,Борисоглѣбскъ,"Borisoglebsk""",Russian (Old Orthography)
790,Медынь,Medyn',Russian (Old Orthography)
791,Кемары,Kemary,Russian (Old Orthography)
792,Оренбургъ,"Orenburg""",Russian (Old Orthography)
793,Петровки,Petrovki,Russian (Old Orthography)
794,Бучалки,Buchalki,Russian (Old Orthography)
795,Чупаховка,Chupakhovka,Russian (Old Orthography)
796,Киренскъ,"Kirensk""",Russian (Old Orthography)
797,Теряево,Teriaevo,Russian (Old Orthography)
798,Лѣвые Ламки,Levye Lamki,Russian (Old Orthography)
799,Рыльскъ,"Ryl'sk""",Russian (Old Orthography)
800,Нестеровской,Nesterovskoi,Russian (Old Orthography)
801,Гритчино,Gritchino,Russian (Old Orthography)
802,Демшинскъ,"Demshinsk""",Russian (Old Orthography)
803,Михайловской,Mikhailovskoi,Russian (Old Orthography)
804,Тамбовъ,"Tambov""",Russian (Old Orthography)
805,Спасъ,"Spas""",Russian (Old Orthography)
806,Старая Рязань,Staraia Riazan',Russian (Old Orthography)
807,Рыжково,Ryzhkovo,Russian (Old Orthography)
808,Ржевъ Володимеровъ,"Rzhev"" Volodimerov""",Russian (Old Orthography)
809,Веприкъ,"Veprik""",Russian (Old Orthography)
810,Астрахань,Astrakhan',Russian (Old Orthography)
811,Авженская,Avzhenskaia,Russian (Old Orthography)
812,Жиганскъ,"Zhigansk""",Russian (Old Orthography)
813,Габзаль,Gabzal',Russian (Old Orthography)
814,Епифань,Epifan',Russian (Old Orthography)
815,Утвымская,Utvymskaia,Russian (Old Orthography)
816,Золочевъ,"Zolochev""",Russian (Old Orthography)
817,Кумзерская,Kumzerskaia,Russian (Old Orthography)
818,Презма,Prezma,Russian (Old Orthography)
819,Тихвинъ,"Tikhvin""",Russian (Old Orthography)
820,Лальскъ,"Lal'sk""",Russian (Old Orthography)
821,Бѣлоцерковка,Belotserkovka,Russian (Old Orthography)
822,Мехонской,Mekhonskoi,Russian (Old Orthography)
823,Шешкѣевъ,"Sheshkeev""",Russian (Old Orthography)
824,Святогорской,Sviatogorskoi,Russian (Old Orthography)
825,Антоновка,Antonovka,Russian (Old Orthography)
826,Хрущово,Khrushchovo,Russian (Old Orthography)
827,Шадринскъ,"Shadrinsk""",Russian (Old Orthography)
828,Самборской,Samborskoi,Russian (Old Orthography)
829,Туглинская,Tuglinskaia,Russian (Old Orthography)
830,Рига,Riga,Russian (Old Orthography)
