ID,attestedName,romanizedName,nameLanguage
76,Тульский уѣздѣ,Tul'skii uiezdie,Russian (Old Orthography)
77,Уфимский уѣздѣ,Ufimskii uiezdie,Russian (Old Orthography)
78,Харьковский уѣздѣ,Khar'kovskii uiezdie,Russian (Old Orthography)
79,Черниговский уѣздѣ,Chernigovskii uiezdie,Russian (Old Orthography)
80,Ярославский уѣздѣ,Iaroslavskii uiezdie,Russian (Old Orthography)
81,Алатырьский уѣздѣ,Alatyr'skii uiezdie,Russian (Old Orthography)
82,Алексинский уѣздѣ,Aleksinskii uiezdie,Russian (Old Orthography)
83,Арзамаский уѣздѣ,Arzamaskii uiezdie,Russian (Old Orthography)
84,Ахтырский уѣздѣ,Akhtyrskii uiezdie,Russian (Old Orthography)
85,Бабиновецкий уѣздѣ,Babinovetskii uiezdie,Russian (Old Orthography)
86,Бежецкий уѣздѣ,Bezhetskii uiezdie,Russian (Old Orthography)
87,Белевский уѣздѣ,Belevskii uiezdie,Russian (Old Orthography)
88,Белицкий уѣздѣ,Belitskii uiezdie,Russian (Old Orthography)
89,Белогородский уѣздѣ,Belogorodskii uiezdie,Russian (Old Orthography)
90,Белозерскъ городъ,"Belozersk"" gorod""",Russian (Old Orthography)
91,Валуйский уѣздѣ,Valuiskii uiezdie,Russian (Old Orthography)
92,Великолуцкий уѣздѣ,Velikolutskii uiezdie,Russian (Old Orthography)
93,Веневский уѣздѣ,Venevskii uiezdie,Russian (Old Orthography)
94,Верейский уѣздѣ,Vereiskii uiezdie,Russian (Old Orthography)
95,Верхнеудинский уѣздѣ,Verkhneudinskii uiezdie,Russian (Old Orthography)
96,Волоколамский уѣздѣ,Volokolamskii uiezdie,Russian (Old Orthography)
97,Гадяцкий уѣздѣ,Gadiatskii uiezdie,Russian (Old Orthography)
98,Гороховецкий уѣздѣ,Gorokhovetskii uiezdie,Russian (Old Orthography)
99,Динабургский уѣздѣ,Dinaburgskii uiezdie,Russian (Old Orthography)
100,Дмитровский уѣздѣ,Dmitrovskii uiezdie,Russian (Old Orthography)
101,Донковский уѣздѣ,Donkovskii uiezdie,Russian (Old Orthography)
102,Елецкий уѣздѣ,Eletskii uiezdie,Russian (Old Orthography)
103,Епифанский уѣздѣ,Epifanskii uiezdie,Russian (Old Orthography)
104,Зарайский уѣздѣ,Zaraiskii uiezdie,Russian (Old Orthography)
105,Звенигородский уѣздѣ,Zvenigorodskii uiezdie,Russian (Old Orthography)
106,Зубцовский уѣздѣ,Zubtsovskii uiezdie,Russian (Old Orthography)
107,Изюмский уѣздѣ,Iziumskii uiezdie,Russian (Old Orthography)
108,Касимовский уѣздѣ,Kasimovskii uiezdie,Russian (Old Orthography)
109,Кашинский уѣздѣ,Kashinskii uiezdie,Russian (Old Orthography)
110,Каширский уѣздѣ,Kashirskii uiezdie,Russian (Old Orthography)
111,Керенский уѣздѣ,Kerenskii uiezdie,Russian (Old Orthography)
112,Кинешемский уѣздѣ,Kineshemskii uiezdie,Russian (Old Orthography)
113,Киренский уѣздѣ,Kirenskii uiezdie,Russian (Old Orthography)
114,Климовицкий уѣздѣ,Klimovitskii uiezdie,Russian (Old Orthography)
115,Козельский уѣздѣ,Kozel'skii uiezdie,Russian (Old Orthography)
116,Козловский уѣздѣ,Kozlovskii uiezdie,Russian (Old Orthography)
117,Коломенский уѣздѣ,Kolomenskii uiezdie,Russian (Old Orthography)
118,Кароченский уѣздѣ,Karochenskii uiezdie,Russian (Old Orthography)
119,Краснослободский уѣздѣ,Krasnoslobodskii uiezdie,Russian (Old Orthography)
120,Лебедянский уѣздѣ,Lebedianskii uiezdie,Russian (Old Orthography)
121,Ливенский уѣздѣ,Livenskii uiezdie,Russian (Old Orthography)
122,Лубенский уѣздѣ,Lubenskii uiezdie,Russian (Old Orthography)
123,Любимский уѣздѣ,Liubimskii uiezdie,Russian (Old Orthography)
124,Мезенский уѣздѣ,Mezenskii uiezdie,Russian (Old Orthography)
125,Миргородский уѣздѣ,Mirgorodskii uiezdie,Russian (Old Orthography)
126,Миропольский уѣздѣ,Miropol'skii uiezdie,Russian (Old Orthography)
127,Можайский уѣздѣ,Mozhaiskii uiezdie,Russian (Old Orthography)
128,Мстиславский уѣздѣ,Mstislavskii uiezdie,Russian (Old Orthography)
129,Наровчатовский уѣздѣ,Narovchatovskii uiezdie,Russian (Old Orthography)
130,Нижеломовский уѣздѣ,Nizhelomovskii uiezdie,Russian (Old Orthography)
131,Новосильский уѣздѣ,Novosil'skii uiezdie,Russian (Old Orthography)
132,Нежинский уѣздѣ,Nezhinskii uiezdie,Russian (Old Orthography)
133,Оршанский уѣздѣ,Orshanskii uiezdie,Russian (Old Orthography)
134,Островский уѣздѣ,Ostrovskii uiezdie,Russian (Old Orthography)
135,Переяславский уѣздѣ,Pereiaslavskii uiezdie,Russian (Old Orthography)
136,Петровский уѣздѣ,Petrovskii uiezdie,Russian (Old Orthography)
137,Пирятинский уѣздѣ,Piriatinskii uiezdie,Russian (Old Orthography)
138,Полотавский уѣздѣ,Polotavskii uiezdie,Russian (Old Orthography)
139,Пошехонский уѣздѣ,Poshekhonskii uiezdie,Russian (Old Orthography)
140,Прилуцкий уѣздѣ,Priluttskii uiezdie,Russian (Old Orthography)
141,Рогачевский уѣздѣ,Rogachevskii uiezdie,Russian (Old Orthography)
142,Ростовский уѣздѣ,Rostovskii uiezdie,Russian (Old Orthography)
143,Рузский уѣздѣ,Ruzskii uiezdie,Russian (Old Orthography)
144,Саранский уѣздѣ,Saranskii uiezdie,Russian (Old Orthography)
145,Свиажский уѣздѣ,Sviazhskii uiezdie,Russian (Old Orthography)
146,Сосницкий уѣздѣ,Sosnitskii uiezdie,Russian (Old Orthography)
147,Старобыховский уѣздѣ,Starobykhovskii uiezdie,Russian (Old Orthography)
148,Стародубовский уѣздѣ,Starodubovskii uiezdie,Russian (Old Orthography)
149,Суздальский уѣздѣ,Suzdal'skii uiezdie,Russian (Old Orthography)
150,Темниковский уѣздѣ,Temnikovskii uiezdie,Russian (Old Orthography)
151,Челябинский уѣздѣ,Cheliabinskii uiezdie,Russian (Old Orthography)
152,Чериковский уѣздѣ,Cherikovskii uiezdie,Russian (Old Orthography)
153,Чухломский уѣздѣ,Chukhlomskii uiezdie,Russian (Old Orthography)
154,Шацкий уѣздѣ,Shatskii uiezdie,Russian (Old Orthography)
155,Юрьевцкий уѣздѣ,Iur'evtskii uiezdie,Russian (Old Orthography)
156,Яренский уѣздѣ,Iarenskii uiezdie,Russian (Old Orthography)
157,Аткарский уѣздѣ,Atkarskii uiezdie,Russian (Old Orthography)
158,Богодуховский уѣздѣ,Bogodukhovskii uiezdie,Russian (Old Orthography)
159,Борзнянский уѣздѣ,Borznianskii uiezdie,Russian (Old Orthography)
160,Борисоглебский уѣздѣ,Borisoglebskii uiezdie,Russian (Old Orthography)
161,Бронницкий уѣздѣ,Bronnitskii uiezdie,Russian (Old Orthography)
162,Брянский уѣздѣ,Brianskii uiezdie,Russian (Old Orthography)
163,Белопольский уѣздѣ,Belopol'skii uiezdie,Russian (Old Orthography)
164,Велижский уѣздѣ,Velizhskii uiezdie,Russian (Old Orthography)
165,Венденский уѣздѣ,Vendenskii uiezdie,Russian (Old Orthography)
166,Весьегонский уѣздѣ,Ves'egonskii uiezdie,Russian (Old Orthography)
167,Вольмарский уѣздѣ,Vol'marskii uiezdie,Russian (Old Orthography)
168,Вязниковский уѣздѣ,Viaznikovskii uiezdie,Russian (Old Orthography)
169,Гдовский уѣздѣ,Gdovskii uiezdie,Russian (Old Orthography)
170,Голтвианский уѣздѣ,Goltvianskii uiezdie,Russian (Old Orthography)
171,Горбатовский уѣздѣ,Gorbatovskii uiezdie,Russian (Old Orthography)
172,Грязовецкий уѣздѣ,Griazovetskii uiezdie,Russian (Old Orthography)
173,Елатомский уѣздѣ,Elatomskii uiezdie,Russian (Old Orthography)
174,Ельнинский уѣздѣ,El'ninskii uiezdie,Russian (Old Orthography)
175,Жиганский уѣздѣ,Zhiganskii uiezdie,Russian (Old Orthography)
176,Жиздринский уѣздѣ,Zhizdrinskii uiezdie,Russian (Old Orthography)
177,Зашиверский уѣздѣ,Zashiverskii uiezdie,Russian (Old Orthography)
178,Землянский уѣздѣ,Zemlianskii uiezdie,Russian (Old Orthography)
179,Золотоношский уѣздѣ,Zolotonoshskii uiezdie,Russian (Old Orthography)
180,Ковровский уѣздѣ,Kovrovskii uiezdie,Russian (Old Orthography)
181,Козелецкий уѣздѣ,Kozeletskii uiezdie,Russian (Old Orthography)
182,Карсунский уѣздѣ,Karsunskii uiezdie,Russian (Old Orthography)
183,Котельничский уѣздѣ,Kotel'nichskii uiezdie,Russian (Old Orthography)
184,Крапивенский уѣздѣ,Krapivenskii uiezdie,Russian (Old Orthography)
185,Красноборский уѣздѣ,Krasnoborskii uiezdie,Russian (Old Orthography)
186,Краснокутский уѣздѣ,Krasnokutskii uiezdie,Russian (Old Orthography)
187,Кромский уѣздѣ,Kromskii uiezdie,Russian (Old Orthography)
188,Кузнецкий уѣздѣ,Kuznetskii uiezdie,Russian (Old Orthography)
189,Лаишевский уѣздѣ,Laishevskii uiezdie,Russian (Old Orthography)
190,Лальский уѣздѣ,Lal'skii uiezdie,Russian (Old Orthography)
191,Липецкий уѣздѣ,Lipetskii uiezdie,Russian (Old Orthography)
192,Лихвинский уѣздѣ,Likhvinskii uiezdie,Russian (Old Orthography)
193,Лохвицкий уѣздѣ,Lokhvitskii uiezdie,Russian (Old Orthography)
