ID,title,reprLong,reprLat,reprType
116,Kozlovskii uezd,40.4907,52.8978,seat
117,Kolomenskii uezd,38.77833,55.07944,seat
118,Karochenskii uezd,37.18598,50.8132,seat
119,Krasnoslobodskii uezd,43.78963,54.4253,seat
120,Lebedianskii uezd,39.16639,53.01942,seat
121,Livenskii uezd,37.60689,52.42534,seat
122,Lubenskii uezd,32.99694,50.01625,seat
123,Liubimskii uezd,40.68433,58.3625,seat
124,Mezenskii uezd,44.2542,65.8401,seat
125,Mirgorodskii uezd,33.60886,49.96854,seat
126,Miropol'skii uezd,35.26233,51.023,seat
127,Mozhaiskii uezd,36.02722,55.50194,seat
128,Mstislavskii uezd,31.7217,54.0185,seat
129,Narovchatovskii uezd,43.69458,53.87654,seat
130,Nizhelomovskii uezd,43.67663,53.53041,seat
131,Novosil'skii uezd,37.04048,52.97387,seat
132,Nezhinskii uezd,31.88688,51.04801,seat
133,Orshanskii uezd,30.4172,54.5081,seat
134,Ostrovskii uezd,28.35368,57.34395,seat
135,Pereiaslavskii uezd,31.4795,50.08768,seat
136,Petrovskii uezd,39.26928,57.01039,seat
137,Piriatinskii uezd,32.50621,50.24242,seat
138,Polotavskii uezd,34.54073,49.59373,seat
139,Poshekhonskii uezd,39.13531,58.49928,seat
140,Priluttskii uezd,32.38761,50.59323,seat
141,Rogachevskii uezd,30.0495,53.0934,seat
142,Rostovskii uezd,39.41394,57.1914,seat
143,Ruzskii uezd,36.19522,55.69898,seat
144,Saranskii uezd,45.1749,54.1838,seat
145,Sviazhskii uezd,48.66051,55.77329,seat
147,Sosnitskii uezd,32.49985,51.52387,seat
148,Starobykhovskii uezd,30.2454,53.521,seat
149,Starodubovskii uezd,33.67942,52.2405,seat
150,Suzdal'skii uezd,40.44668,56.42274,seat
151,Temnikovskii uezd,43.21483,54.63023,seat
152,Cheliabinskii uezd,61.42915,55.15402,seat
153,Cherikovskii uezd,31.3831,53.5689,seat
155,Chukhlomskii uezd,42.68318,58.75375,seat
156,Shatskii uezd,41.71191,54.02576,seat
157,Iur'evtskii uezd,43.1041,57.32007,seat
158,Iarenskii uezd,49.09162,62.16755,seat
159,Atkarskii uezd,45.00775,51.87185,seat
160,Bogodukhovskii uezd,35.52765,50.16466,seat
161,Borznianskii uezd,32.4269,51.25464,seat
162,Borisoglebskii uezd,42.08494,51.36713,seat
163,Bronnitskii uezd,38.26188,55.42112,seat
164,Brianskii uezd,34.37167,53.25209,seat
165,Belopol'skii uezd,34.31287,51.15016,seat
166,Velizhskii uezd,31.19673,55.60564,seat
167,Vendenskii uezd,25.27456,57.31188,seat
168,Ves'egonskii uezd,37.2604,58.66398,seat
169,Vol'marskii uezd,25.42751,57.54108,seat
170,Viaznikovskii uezd,42.15563,56.24057,seat
171,Gdovskii uezd,27.81977,58.74424,seat
172,Goltvianskii uezd,33.85422,49.4202,seat
173,Gorbatovskii uezd,43.06363,56.1311,seat
174,Griazovetskii uezd,40.2525,58.88,seat
175,Elatomskii uezd,41.75083,54.9675,seat
176,El'ninskii uezd,33.18373,54.57864,seat
177,Zhiganskii uezd,123.37418,66.76601,seat
178,Zhizdrinskii uezd,34.73951,53.74596,seat
179,Zashiverskii uezd,142.61667,67.45,seat
180,Zemlianskii uezd,38.7334,51.9041,seat
181,Zolotonoshskii uezd,32.04047,49.66832,seat
182,Kovrovskii uezd,41.31917,56.35722,seat
183,Kozeletskii uezd,31.1214,50.91334,seat
184,Karsunskii uezd,46.62978,54.1829,seat
185,Kotel'nichskii uezd,48.348,58.3089,seat
186,Krapivenskii uezd,37.15744,53.94234,seat
187,Krasnoborskii uezd,45.93396,61.55978,seat
188,Krasnokutskii uezd,35.16275,50.06602,seat
189,Kromskii uezd,35.76665,52.68762,seat
190,Kuznetskii uezd,46.60037,53.11675,seat
191,Laishevskii uezd,49.55037,55.40464,seat
192,Lal'skii uezd,47.58617,60.74146,seat
193,Lipetskii uezd,39.57076,52.60311,seat
194,Likhvinskii uezd,36.24499,54.09685,seat
195,Lokhvitskii uezd,33.26024,50.36776,seat
196,Makar'evskii uezd,45.06291,56.08367,seat
197,Cherkaskii uezd,40.09132,47.42018,seat
198,Vytegorskii uezd,36.44811,61.00636,seat
199,Lebedinskii uezd,34.4849,50.58518,seat
200,Ekaterinburgskii uezd,60.6122,56.8519,seat
201,Sapozhkovskii uezd,40.68056,53.94194,seat
202,Derptskii uezd,26.72509,58.38062,seat
203,Karachevskii uezd,34.98517,53.12292,seat
204,Korotoiakskii uezd,39.17677,50.98665,seat
205,Sennenskii uezd,29.7086,54.8108,seat
206,Bogorodskii uezd,38.45,55.85,seat
207,Koz'modem'ianskii uezd,46.56353,56.3419,seat
208,Voskresenskii uezd,36.86867,55.91997,seat
209,Efremovskii uezd,38.09924,53.14806,seat
210,Borovskii uezd,36.48611,55.20639,seat
211,Opochetskii uezd,28.66174,56.71048,seat
212,Tsarevokokshaiskii uezd,47.89078,56.63877,seat
213,Iur'eva-Pol'skii uezd,39.67911,56.50339,seat
214,Porkhovskii uezd,29.55612,57.76502,seat
215,Kurmyshskii uezd,46.07337,55.83336,seat
216,Sumskii uezd,34.80029,50.9216,seat
217,Lukhovskii uezd,42.25838,57.01242,seat
218,Tsarevosanchurskii uezd,47.24987,56.94125,seat
219,Nerchinskii uezd,116.58333,51.98333,seat
